項目	日期	金額	備註
求嫻悠遊卡儲值	2025/8/31	$1,000.00	
果都*2	2025/9/6	$110.00	
兩人晚餐	2025/9/5	$255.00	兩支
全聯	2025/9/6	$819.00	桂冠義大利麵、疏食
作中晚餐	2025/9/7	$99.00	7-11
中午餐 水煮	2025/9/8	$165.00	
小倆口	2025/9/8	$100.00	
水煮餐盒	2025/9/9	$185.00	
水煮餐盒	2025/9/10	$165.00	
魚麵	2025/9/11	$150.00	牛肉片麵
水煮餐盒	2025/9/11	$165.00	
水煮餐盒	2025/9/12	$165.00	
兩支	2025/9/12	$360.00	兩個韭菜捲餅，一個泡菜牛肉捲餅，一個木須炒麵
醫院萊爾富	2025/9/13	$68.00	御飯糰，蘋果
遠傳電信費用	2025/9/11	$898.00	
魚麵	2025/9/18	$160.00	
全支付	2025/9/19	$724.00	水果 奶粉 豆腐
GooglePay	2025/9/20	$598.00	麥當勞午餐
LinePay 	2025/9/20	$65.00	CoCo飲料
悠遊付	2025/9/21	$500.00	阿嫻悠遊卡儲值
LinePay 	2025/9/21	$310.00	魚麵晚餐
LinePay 	2025/9/22	$165.00	午餐水煮餐盒
LinePay 	2025/9/22	$220.00	三顧茅廬晚餐
LinePay 	2025/9/24	$175.00	水煮餐盒
