日期	項目名稱	項目類別	金額	支付類別	備註	月份
9/30/2025	晚餐	正餐	NT$100.00	現金	雞腿便當	9
9/30/2025	悠遊卡儲值	小孩儲值	NT$1,100.00	悠遊付 中 國泰CUBE	阿嫻悠遊卡	9
9/30/2025	咖啡退費	飲品點心	-NT$5.00	現金	小七咖啡退費	9
9/30/2025	瓦斯費	水電瓦斯	NT$500.00	全支付 貞 台新	計算期間：7/15-9/12	9
9/30/2025	加油	貞日常交通	NT$1,713.00	LinePay 貞 中信	含洗車250元	9
9/30/2025	午餐	正餐	NT$165.00	LinePay 中 國泰CUBE	水煮餐盒	9
9/29/2025	晚餐	正餐	NT$330.00	LinePay 中 國泰CUBE	魚麵 兩碗	9
9/29/2025	咖啡退費	飲品點心	-NT$10.00	現金	小七咖啡退費	9
9/29/2025	冰棒	飲品點心	NT$210.00	LinePay 貞 中信	小寶賢要吃的北海道巧酥雪糕*6	9
9/29/2025	午餐	正餐	NT$591.00	LinePay 貞 中信	早安公雞 雞塊x2 兩個大拼盤 一個土司	9
9/28/2025	晚餐	正餐	NT$99.00	LinePay 中 國泰CUBE	小七便當	9
9/28/2025	晚餐	正餐	NT$70.00	LinePay 中 國泰CUBE	八方鍋貼10個	9
9/28/2025	白巷子	飲品點心	NT$110.00	LinePay 貞 中信	紅茶三號、冰淇淋紅茶	9
9/28/2025	午餐	正餐	NT$960.00	現金	三人，家家義大利麵	9
9/27/2025	晚餐	正餐	NT$285.00	LinePay 中 國泰CUBE	兩支 三個韭菜盒 一個泡菜牛肉捲餅	9
9/27/2025	咖啡退費	飲品點心	-NT$10.00	現金	小七咖啡退費	9
9/27/2025	早餐	飲品點心	NT$110.00	現金	兩條地瓜	9
9/27/2025	午餐	正餐	NT$310.00	LinePay 中 國泰CUBE	魚麵 牛肉片面 魚片面	9
9/26/2025	菜市場	日常所需	NT$902.00	現金		9
9/26/2025	晚餐	正餐	NT$305.00	LinePay 中 國泰CUBE	水煮餐盒 x2	9
9/26/2025	停車費	貞日常交通	NT$200.00	LinePay 貞 中信	中台大回診	9
9/26/2025	恩恩晚餐	正餐	NT$180.00	LinePay 中 國泰CUBE	默默義大利麵	9
9/26/2025	阿嫻儲值	小孩儲值	NT$500.00	悠遊付 中 國泰CUBE		9
9/26/2025	早餐	正餐	NT$135.00	現金	薏仁紫米*2、水煎包	9
9/26/2025	生活用品	日常所需	NT$566.00	全支付 中 國泰CUBE	全聯 蛋 豆腐 冷凍義大利麵 蘋果	9
9/26/2025	手機費	日常所需	NT$752.00	全支付 貞 台新	貞+江爸，遠傳幣抵300	9
9/26/2025	午餐	正餐	NT$90.00	現金	素湯麵	9
9/26/2025	午餐	正餐	NT$155.00	LinePay 貞 中信	雞腿便當	9
9/25/2025	Subway晚餐	正餐	NT$280.00	LinePay 中 國泰CUBE		9
9/25/2025	OpenPoint 退費	飲品點心	-NT$10.00	現金	中兌換咖啡	9
9/25/2025	7-11熱壓吐司*10	正餐	NT$550.00	LinePay 貞 中信		9
9/24/2025	蝦皮包裹	非日常開銷	NT$399.00	現金	三個有線耳機	9
9/24/2025	水煮餐盒	正餐	NT$175.00	LinePay 中 國泰CUBE		9
9/23/2025	電費	日常所需	NT$4,359.00	全支付 貞 台新	扣款日	9
9/23/2025	素貞午餐	正餐	NT$60.00	現金	李媽媽，燙青菜*2	9
9/23/2025	耳機	非日常開銷	NT$993.00		蝦皮街口支付，耳機59*3+耳機129+耳機133*3+銀絲抹布2*20	9
9/23/2025	加油	貞日常交通	NT$1,688.00	LinePay 貞 中信		9
9/22/2025	晚餐	正餐	NT$100.00		便當	9
9/22/2025	砧板 刀組	非日常開銷	NT$1,000.00	Momo 中 Momo卡		9
9/22/2025	午餐水煮餐盒	正餐	NT$165.00	LinePay 中 國泰CUBE		9
9/22/2025	三顧茅廬晚餐	正餐	NT$220.00	LinePay 中 國泰CUBE		9
9/21/2025	魚麵晚餐	正餐	NT$310.00	LinePay 中 國泰CUBE		9
9/21/2025	阿嫻悠遊卡儲值	小孩儲值	NT$500.00	悠遊付 中 國泰CUBE		9
9/20/2025	CoCo飲料	飲品點心	NT$65.00	LinePay 中 國泰CUBE		9
9/20/2025	麥當勞午餐	正餐	NT$598.00	GooglePay 中 國泰CUBE		9
9/20/2025	晚餐便當	正餐	NT$100.00			9
9/20/2025	素貞包裹	工作與學習	NT$244.00		esp32 cam	9
